緣份,內容
合局-曖昧,"同時，在你們的相處中，代表你們其實也好溝通，互相配合，也有默契。大家也投入這份交流上，情投意合。基本的話題聊天，都能聊。所以，做朋友時，會覺得彼此都比較有默，容易日久生情。但是，也只限於朋友聊天的情誼，也算是有溝通的基礎。
 
 但是，在整體合盤來說，你們會比較像朋友的相處，少了愛情的火花，也少有激情的部分，容易會因為沒有新鮮感而離開。"
合局-分手,"同時，在你們的相處中，你們其實也好溝通，互相配合，也有默契。大家也投入這份交流上，情投意合。基本的話題聊天，都能聊。所以，做朋友時，會覺得彼此都比較有默，容易日久生情。尤其是，你們有溝通基礎，你們商量的時候都比較能夠達成共識，互相退一步遷就不將就。所以，建議：發生問題時，可以以聊天的方式聊開，不要悶在心裡，有合局都要把話講出，不要罵，不要指責，也不要閙，用輕鬆的話題，從淺入深地解開問題，都會對你們有所幫助。長期良好溝通，都會讓彼此更包容缺點，對脾氣情緒都會更加寬容。多以引導的方式，講出他的心底話，一開始要慢慢來，要有耐心，才會建立的溝通基礎，以後發生爭執時也能回到理性溝通，達到共識，共同解決問題的親密度。
 
 所以，建議你們先從朋友的關係再次開始，朋友關係不帶任何復合目的，讓他覺得跟你在一起是舒服的。否則，每天在求復合，只會讓他壓力，更拒絕你，甚至斷絕來往。"
刑局,在你們的相處上，你們在溝通上有說不出口，溝通不到就會在心裡產生鬱悶，不知道要怎麼說出口，也找不到一個更好的方式去講，到最後也會變得越來越不想說，彼此在心裡容累積不爽的想法。就是自找麻煩，容易想太多負面，想像很多不真實的幻想，讓自己越陷越負面，所以你這種負面想法及能量，是很容易影響他想要遠離你的。這是惡的循環，你越亂想，他越離開你，你越不安。交往後期，態度性情冷酷，常常出現嫌棄的情況，你的付出沒回報，他也不會感謝你。
X-任何,"其他方面，交往越久越明顯就是，你們在一般生活裡比較沒有火花及交集。代表著，你們難以有進一步的發展，停滯不前。你們在相處上沒有交集，代表他的話題你不懂，你的話題他不懂，常常對不上頻率。建議你，清楚表明自己的需求，但也要多重複幾次，他才會懂。否則，他腦袋的WI-FI都沒辦法接收你的需求。所以，你們也比較難有非常好聊的時候。意思也就是說，你們比較沒有溝通的基礎，也會有誤會，互相理解的點會比較不一樣。所以，會有很多「自以為」的想像出來。你以為他知道你的付出，你以為他對你是有愛，你以為他知道你的想法，你以為他會聽懂你的要求，等等。但其實很多時候，也是互相不明白，只是猜想，又猜錯。最後，就是雞同鴨講，很難有共識共嗚，沒辦法有更多的話題，只靠著愛情的火花去彊持，但新鮮感消散，溝通基礎也沒有，就很難維持下去。所以，你們也比較難有非常好聊的時候。意思也就是說，你們比較沒有溝通的基礎，也會有誤會，互相理解的點會比較不一樣。
 
 建議，當你不知道怎麼回應時，都不要加太多個人意見引發不必要的誤會，嘗試在自己不認知的範圍裡多欣賞他，鼓勵他跟你分享他的想法，做一個聆聽者。另外，自己在生活裡，多分享自己的開心、愉快的事情，都能吸引他願意跟你溝通交流，彌補了「對不上頻率」的問題。"
X-曖昧,其他方面，比較沒有火花。你們聊天或曖昧都沒辦法讓感情更緊密，難以有進一步的發展，停滯不前。他的話題你不懂，你的話題他不懂，常常對不上頻率。最後，就是雞同鴨講，很難有共識共嗚，沒辦法有更多的話題。長期下來，會覺得跟你聊天好無聊，不有趣，寧願跟其他人多聊一些，也不要跟你有的沒的。最後，會有「突然消失」「不回訊息」的情況，也有可能，他會突然交到情人，直接無視你的存在，斷聯封鎖。
快速總結（第一：緣份）,內容
他流年太多誘惑,"幫你做個快速的總結：
 
 第一：他其實對你這個人是有興趣的，但是，流年太多誘惑而定不住，再加上他對愛情比較渴望有刺激感，需要新鮮感才讓他看一眼。你的付出，你的愛意，他看不上眼，才需要精準攻略。否則，你繼續原地踏步，他還是一樣不覺得你是情人的人選，說不定還有更好的條件。"
你的能量比較低,"幫你做個快速的總結：
 
 第一：你在感情關係裡的能量偏低的話，你個人會呈現「內耗」「疲憊」「不安」的情況。再來，就是呈現「不對等的愛情結構」。例如「他看不起你」「他不害怕你離開他所以任意妄為」「他不把你放在眼裡而選擇傷害你」。建議你定期找NANA做「愛情療癒組合」提升自己的正能量（補充滿愛情能量更能發揮他喜歡的特質加以吸引他留住他）讓他喜歡靠近你，讓他覺得跟你相處舒服，就自然離不開你。"
沒辦法對抗父母親,"幫你做個快速的總結：
 
 第一：他是很喜歡你的，但是他沒辦法堅定的為了你而對抗父母親（對他來說，家人的想法及意見是非常重點）。一是，你曾經做過讓他猶豫要不要繼續下去的事情（吵架後的態度 或 相處不融洽）； 二是，他感受不到你的堅定，他在心裡衡量過後，不值得拚手一博。（理性思維，不會為愛而損失自己）"
你命盤傷官,"幫你做個快速的總結：
 
 第一：你的命盤裡，有影響著你感情的磁場，才會導致你的感情路上一波三折，容易出現「我喜歡的人不喜歡我」的情況。建議你可以進行《自我覺察》，從自身可以做調整，你生活越自在舒服，你越能遇到真心欣賞你疼愛你的人。首先，就是覺察自己的負面情緒及想法，再來就是這些想法如何引導你做出的行為，你的言辭是否滿口都是抱怨及挑剔。察覺成功後，再調整，你會發現身邊的人事物對你越來越友善，總是帶著愛。"
命盤帶七殺,"幫你做個快速的總結：
 
 第一：你的命盤裡，有影響著你感情的磁場，才會導致你對於感情比較任性、執著、佔有欲強烈。而且，你對待感情過於重視，遇到問題往往經不起考驗，不小心就陷入「情關裡」。建議，你還是參與《愛情療癒組合》學習給予自己安全感，當妳充滿能量就會有歡喜心，妳對他就會多點包容體諒，不再容易動怒。他才會真正地對你對你放下戒心，慢慢對下妳對他的壓力，否則他撐不住，就會直接消失。"
傷官見官,"幫你做個快速的總結：
 
 第一：你的命盤裡，有影響著你感情的磁場，就是交往容易臨門一腳不成功，容易因各種事端造成姻緣不順逐。自己對待感情之事過於緊張，太重視而又過度付出在另一半身上，造成對方壓力大，你對他來說就是威脅的存在，所以交往後態度大變，看不順眼，變得冷漠，最後分手或離婚。"
你命盤帶比/劫,"幫你做個快速的總結：
 
 第一：你的命盤裡，有影響著你感情的磁場，才會導致你的感情路上一波三折，不管自己還是伴侶，都容易出現「第三者/情敵」或是「爛桃花纏身」。你的命盤會在潛意識中影響你的直覺，導致你常常感到患得患失，沒有安全感，害怕失去等等。建議你可以參與《愛情療癒組合》，作調整。"
女合局,"幫你做個快速的總結：
 
 第一：你對愛情的付出，往往都是讓你受傷害，讓你越來越心累。雖然沒辦法阻此你在愛情的投入，但至少你要學會保護自己。建議你，參與《愛情療癒組合》補充愛的能量，學習愛自己，才不會執著於從別人的身上得到愛，也視愛為安全感。當你學會把愛回流到自己身上時，你就不要白白把自己的愛付出去，結果到後來一場空。"
緣份少,"幫你做個快速的總結：
 
 第一：你們之間緣份少，自己再努力，也摸不到彼此的需求，也做不到他想要的特質，要做也很吃力。相愛，但還是很無奈。合盤看得赤裸，不需要說謊，你只需要回答自己，你真的希望跟他一輩子嗎？還是你覺得自己可以找到個更喜歡的人？"
女沒圈,"幫你做個快速的總結：
 
 第一：目前對愛情的付出，只是因為「伴侶」這個角色，不是真的喜愛這位對象。執著於把「他」套入你心目中的「伴侶」理想定位，你會更痛苦。先不管喜歡不喜歡的考量，如果他是一個適合跟你生活下去的最佳人選，你再考慮目前的生活問題吧。否則，你一直內耗，委屈自己去迎合現實。"
快速總結（第二：流年）,內容
流年磁場太強,第二：流年磁場太強，讓你們在這1-2年之間發生了好多事情，很多的壓力、煩惱、突發狀況，也讓你們陷入了情緒的低潮，無法發洩，導致更不安。你們能量過低，很容易撐不過去。
刑局陽陽,第二：你們對愛情的想法很多，又負面，不敢踏出勇敢的一步，選擇逃避及放棄。再加上，你們傾向有主見，更容易把潛在問題越講越生氣，導致一發不可收捨（分手告終）。
刑局陰陰,第二：你們對愛情的想法很多，又負面，不敢踏出勇敢的一步，選擇逃避及放棄。再加上，你們傾向被動，更容易把潛在問題越藏越深，導致一發不可收捨（分手告終）。
這2年走小三流年磁場,第二：這2年走小三流年磁場，他身邊異性會增加，如果你沒有定期清理好磁場，他很容易因為新鮮感而出軌。所以，他才會捨得不理你，冷處理，冷暴力。要及時處理，否則後悔莫及。流年磁場太強，讓你們撐不住，不小心就被上天考倒了。能量太弱，都會有考驗，既然已經發生了，就要花時間讓感情得到治療，再來就是跟他互動要建立更緊密的關係。
相處過於平淡沒想法,第二：相處過於平淡沒想法，這是很危險的，因為沒有親密感，就代表感情傾向脆弱。你們即使緣份高，也容易被你們消耗到歸0。
你合他害,第二：你對愛情的付出，不能說他負心漢，而是對他來說真的沒什麼大不了，或是感動不了他。不是你的問題，而是命盤的磁場讓他有這些想法。所以，你們在一起，有點像是情感上的虐待，他越冷暴力，你會更加付出。
他命盤惡劣,第二：他的命盤磁場，影響著他的行為舉止，所以顯得他對你比較惡劣，不是他的錯，只是他命盤讓他這樣對待愛情。他的冷暴力，冷處理，都會是以後分手的導火線。現在不處理，等到分手才後悔。
他-流年煩惱,第二：他只是因為流年磁場太強，影響到他的身心狀況不佳，一下子遇到煩惱，才一時衝動下錯誤的決定。這個時候，他背負著壓力，需要你的陪伴，但不要加重他的壓力，需要自己去拿捏。只能告訴你，逗他開心為主，讓他覺得生活還有希望，有你陪伴著他，他才有未來。
你-傷官抱怨,第二：再加上你的抱怨、碎碎念，他會感受更深。你愛他的方式不對，你希望他做好，但其實沒必要把標準套在他身上，他只會變得越來越冷淡，他也容易變得不想面對你，寧願出去跟其他人在一起。你會願意為了他而改變自己挑剔、說話帶刺、傷害別人的個性？很堅定嗎？你會想改變你們的關係嗎？事到如今，不管誰對誰錯，能不能自己先認錯，自己一直以來，愛他的方式有不對的地方呢？
快速總結（第三：相處）,內容
沒有利用情趣相合,第三：你沒有好好利用情趣相合這一點來激發他的慾望，如果能夠好好應用，成功又更進一步。再搭配我給你的攻略，看不懂就重覆看，反覆嘗試，你一定可以挽回的。
你猶豫-情侶,第三：其實你自己應該也在猶豫，要不要繼續走下去。但是，你又沒有一個勇氣，也沒有一個理由，想到分開，自己又因為不捨得，這些都是正常的。你需要先問自己，你想要的是什麼？更甜蜜？不放棄？順其自然？
你猶豫-分手,第三：其實你自己應該也在猶豫，要不要繼續走下去。但是，你又沒有一個勇氣，也沒有一個理由，直到分開，自己又因為不捨得，這些都是正常的。說不定，這一次就給自己一個解脫吧，放下他，也等於放過你自己。
損失不愛你的人,第三：你只是損失一個不愛你的人，在未來你一定會遇到你愛，而他又愛你的人。只在於，你相不相信。
自助人助天助,"你要學會做他生命中的禮物🎁你們的感情才會更好，心靈會更靠近。你必須把握這次時機，先參與《愛情療癒組合》。
 
 從你自己開始行動，用吸引力法則的能量讓你們更緊密在一起：
 一、補充愛的能量：當彼此愛的能量缺乏，無法供應給這段感情，缺乏能量會導致雙方「斷線」，不投入經營關係，直到負能量堆積而分手。
 二、調整愛的頻率：同頻才會共振，放下怨念及仇恨，調整你對他的頻率，增加他愛你的舒服感，增強他愛你的連結。（你愛他的言辭行為，是需要得到他的認同，就是共振的意思）
 三、持續淨化磁場：當你們 接觸自己及伴侶以外的人，都會沾到負能量，負能量直接影響你們兩個人的情緒、脾氣、習性。所以，才會出現突如其來的不耐煩，發脾氣，生氣等等，這些不合理的狀況（不屬於你們感情的干擾）。
 
 以上三種方法，只適合願意「配合」「執行」「改變」的善緣，有心想要逆轉苦況，請主動諮詢NANA（祕訣不外傳，只給用心經營愛情的善緣）"
針對你的問題,第三：針對你「」
桃花供,內容
情侶/夫妻,"針對你目前的狀況，我會建議你做《雙人牽線療癒組合》
 
 從你自己開始行動，用吸引力法則的能量讓你們更緊密在一起：
 一、補充愛的能量：當彼此愛的能量缺乏，無法供應給這段感情，缺乏能量會導致雙方「斷線」，不投入經營關係，直到負能量堆積而分手。
 二、調整愛的頻率：同頻才會共振，放下怨念及仇恨，調整你對他的頻率，增加他愛你的舒服感，增強他愛你的連結。（你愛他的言辭行為，是需要得到他的認同，就是共振的意思）
 三、持續淨化磁場：當你們 接觸自己及伴侶以外的人，都會沾到負能量，負能量直接影響你們兩個人的情緒、脾氣、習性。所以，才會出現突如其來的不耐煩，發脾氣，生氣等等，這些不合理的狀況（不屬於你們感情的干擾）。
 
 以上三種方法，只適合願意「配合」「執行」「改變」的善緣，有心想要逆轉苦況，請主動諮詢NANA（祕訣不外傳，只給用心經營愛情的善緣）"
復合-斷聯緣份多,"目前你們已經斷聯了，建議你要先求「復聯」，成功恢復聯絡後，才再怖署下一步。你們緣份也足夠多，成功率也比較高，但是也需要時間發酵去修補缺口。
 
 另外《雙人牽線療癒組合》是利用 吸引力法則運用能量勾線回來，重點在於提升你自己的個人愛情能量，發射「能量紅線」重新建立與他的正向連結。
 
 「復合療癒組合」需要至少要3到6個月時間（不適用於沒耐心的善緣）
 一、補充愛的能量：補充自己的愛情能量，越缺乏越無法吸引他回來（往外求愛 ＝ 吸乾別人的能量，他的愛歸0了就會遠離你）。所以，要先補充好愛情能量，他就會回來找你，享受愛與被愛的幸福。
 二、修補感情缺口：一段關係裡都會有它的能量場，缺口上會沾著累積的負能量，也有可能是創傷型的疤痕。所以，也需要修復，以免成為未來復合的傷痛藉口。
 三、能量紅線：發射「能量紅線」重新建立與他的正向連結。「紅線」是指你跟他之間的連結，包括思念及愛意，透過這條「紅線」灌輸愛情能量，需要確保你對他的想法是正面正向，而不是只有執念及慾望，否則只會帶來反效果（負能量灌輸會導致討厭你）。
 
 另外，可以請求主神或指導靈幫忙：衪們可以加速幫你們撮合，讓你們更快重新開始。衪們認同的話，彼此會迴心轉意，他也會突然間發現你的好，也比較願意放下以往的執念。
 
 但是，復合是需要很堅定的能量，要配合吃早餐素，用行動來表達你對復合的決心，你不配合，神明也難以實現你的願望。"
復合-有聯絡,"既然分手了，就代表雙方對於這段感情是不滿意，所以你就要「從根源解決問題」，否則即使回來了，你們也是會因為當初的理由分手。保持聯絡是必須的，而且都比較容易救回來。
 
 建議你做《雙人牽線桃花供》，是首要幫你們在潛意識中作和解，你們以往吵架、開罵、冷暴力、酸言酸語、惡意傷害，都是有給這段姻緣帶來了很多負能量，包括怨恨、悲傷、憤怒、委屈、心痛、憂愁、恐懼。當彼此愛的能量缺乏，無法供應給這段感情，缺乏能量會導致雙方「斷線」，不投入經營關係，累積負能量到爆發就會分開。
 
 一、修補感情缺口：修復這段關係裡的傷害，幫助你們說出內心想法及感受，消除心中的刺（傷口），重新敞開心胸，讓彼此再次進入心中。
 
 二、調整愛情頻率：同頻才會共振，放下怨念及仇恨，調整你對他的頻率，增加他愛你的舒服感，增強他愛你的連結。（你愛他的言辭行為，是需要得到他的認同，就是共振的意思）
 
 三、重新建立愛情關係：重新把這段關係連結，重新走進彼此的心裡，建立親密關係，建立安全感，信任度，親密感等等。
 
 四、可以請求仙佛幫忙：衪們可以加速幫你們撮合，讓你們更快重新開始。衪們認同的話，彼此會迴心轉意，他也會突然間發現你的好，也比較願意放下以往的執念。
 
 但是，復合是需要很堅定的能量，要配合吃早餐素，用行動來表達你對復合的決心，你不配合，神明也難以實現你的願望。
 
 另外，《雙人牽線桃花供》需要完成12場（約3-6個月），加強你們「和好」的效果，我的療癒祕方可以讓你們情慾滿滿，同時，你們就不再受流年打擊，影響你們的情緒，胡思亂想。每做一次雙人療癒桃花供，正能量都是累積的，請穩定好自己的磁場，他才會真正地覺得跟你在一起才是最舒服的，沒必要再在外面找其他人代替你！"
惡緣-分手,"針對你目前的狀況，我會建議你參與《愛情療癒組合》
 
 建議你還是往前看。因為其實你會遇到一位跟你緣份更多，你更愛的人，沒必要糾結於這個人。
 
 《愛情療癒組合》就是療癒妳的身心靈，讓你的頭腦清晰，更能放下這段「開花不結果」的感情，讓你重新開始。
 一：抹去眼瘴，你就會更能發現自己的正緣到底是誰。而且，眼光正確，選擇一個愛你而你又愛他的正緣桃花。
 二：當你持續做愛情療癒，你的能量越高，就能越吸引高質量的正緣桃花，保持穩定感情。
 三：能量越高，越遠離爛桃花。如果，你不去化解，你的爛桃花及情債會一直折磨著你，很痛苦的，最後，一直單身，或者是都遇不到一個真心喜歡自己的人。
 
 另外，《愛情療癒組合》做至少12次，可以增加自己的桃花能量，你值得一個更疼愛你的人，你值得一個接受你的愛的人，你更值得一個欣賞你的愛的人。即使你原諒他，還是心裡有疙瘩，缺乏安全感還是會一樣製造煩惱。你沒有解決問題的能力，就不要談復合。"
曖昧桃花供,"針對你目前的狀況，我會建議你參與《雙人牽線療癒組合》，加速你們的感情發展，就算遠距離也能保持穩定，也能加快你們對未來期昐的實現，例如成為情侶。
 
 《雙人牽線療癒組合》就是療癒妳的身心靈，讓你跟他在現實裡溝通會明顯順利。
 一：建立愛情紅線，加強同頻共振，你就會更能知道如何符合他的心意，如果，你先不化解你們之間的阻礙，拖拖拉拉，很大機會會錯過他這位正緣！
 二：當你持續做愛情療癒，你的能量越高，就能越維持高質量的正緣桃花，保持穩定感情。
 三：能量越高，越快速順利交往，也欣賞疼愛彼此。這就是愛情能量的顯化。
 
 另外，《雙人牽線療癒組合》需要完成12次，加強你們「交往」的效果，我的感情祕方可以讓你們情慾滿滿，同時，你們就不再受流年打擊，影響你們的情緒，胡思亂想。每做一次愛情療癒，正能量都是累積的，請穩定好自己的磁場，他才會真正地覺得跟你在一起才是最舒服的，沒必要再在外面找其他人代替你！"
收尾,"❌ 不要再摧毀自己的愛情
 ✅ 建議你，可以留意NANA的《戀愛說明書》的課程，用命理的專業知識了解愛情及對方，用對方式滿足他的心，讓他知道，你是他遇過最想得到的情人！
 ✅ 配合《愛情療癒組合》，停止內耗，馬上調整自己的行為舉止，讓他對你改觀！
 ✅ 做好決定，NANA就會送您身心靈療癒同步進行是最有效，他絕對沒有理由不愛你！"
